50 72
1 2 9
1 3 4
1 4 6
2 5 5
2 6 5
3 5 5
3 7 6
4 6 4
4 8 5
5 9 7
5 10 5
6 9 4
6 10 5
7 11 6
7 12 5
8 11 6
8 13 5
9 14 6
9 15 7
10 15 6
10 16 5
11 17 7
11 18 5
12 17 6
12 19 5
13 18 7
13 20 5
14 21 6
14 22 5
15 23 7
15 24 5
16 23 6
16 25 5
17 26 7
17 27 5
18 26 6
18 28 5
19 27 7
19 29 5
20 28 6
20 30 5
21 31 7
21 32 5
22 31 6
22 33 5
23 34 7
23 35 5
24 34 6
24 36 5
25 35 7
25 37 5
26 38 6
26 39 5
27 38 7
27 40 5
28 39 6
28 41 5
29 40 7
29 42 5
30 41 6
30 43 5
31 44 7
31 45 5
32 44 6
32 46 5
33 45 7
33 47 5
34 48 6
34 49 5
35 48 7
35 50 5
36 49 6
36 50 5
37 49 7
38 49 6
39 50 7
40 50 6
41 50 7
42 50 6
43 50 7
44 50 6
45 50 7
46 50 6
47 50 7
48 50 6
49 50 7
